DAY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,96.80,126.4,150.2,265.2,323.7,370.8,436.1,344.6,270.0,150.3,84.65,69.64
2,98.24,124.1,151.2,273.3,297.8,378.9,443.5,361.6,268.1,150.4,85.86,68.54
3,101.9,127.6,156.3,286.8,280.2,385.2,475.8,353.2,264.7,147.4,86.85,69.32
4,108.3,133.7,179.4,295.8,268.1,390.4,497.1,348.7,267.4,136.3,87.68,68.66
5,109.4,137.9,242.6,293.4,267.2,387.8,481.8,344.9,263.8,125.5,87.46,65.97
6,113.0,139.6,278.0,291.2,278.8,391.8,472.0,343.4,252.2,123.7,87.89,67.70
7,117.0,138.9,228.4,302.0,297.2,362.8,521.6,337.7,276.2,115.9,84.26,68.33
8,113.4,138.1,213.3,304.5,294.1,361.5,524.2,325.0,270.8,114.4,80.43,67.94
9,110.9,135.5,218.4,307.0,293.7,373.5,529.1,336.6,269.1,110.8,75.31,68.67
10,109.3,131.0,225.8,321.4,299.5,381.8,515.6,328.1,268.5,107.2,76.77,68.12
11,104.7,134.1,228.9,338.9,293.5,387.3,501.7,315.5,272.9,109.6,75.95,67.14
12,102.5,149.1,231.3,347.0,298.5,374.9,482.4,315.1,270.6,103.4,76.11,66.41
13,100.7,164.2,228.8,314.4,285.3,381.7,519.7,309.1,277.1,100.4,77.91,72.76
14,96.30,143.1,223.2,287.7,278.5,375.3,510.4,287.5,288.5,99.38,78.01,75.67
15,111.3,141.9,226.0,280.6,258.6,385.4,490.3,279.4,289.4,100.3,78.50,74.02
16,135.7,141.8,218.1,276.5,261.4,384.7,468.9,274.9,273.0,98.01,78.84,70.82
17,142.7,140.8,227.7,275.5,261.4,385.3,456.5,264.8,270.8,95.75,76.64,70.94
18,135.0,144.1,233.0,275.8,268.0,384.2,446.1,262.1,270.3,90.87,74.74,69.78
19,128.1,148.8,240.6,270.0,273.7,408.0,434.6,263.1,266.6,91.98,73.13,70.59
20,123.7,158.1,257.4,269.6,284.8,404.8,423.4,261.8,260.0,91.60,74.37,70.53
21,127.4,169.7,264.0,397.2,302.3,420.5,410.5,275.2,252.9,90.10,75.02,70.03
22,130.0,170.7,232.7,388.6,287.4,433.8,394.7,291.4,248.7,88.39,73.56,69.83
23,129.4,179.1,235.7,361.0,284.1,436.9,389.8,295.4,236.4,89.28,74.14,66.97
24,126.8,166.3,232.4,351.8,285.4,431.8,384.7,305.9,229.7,88.09,72.49,64.96
25,123.8,153.4,234.9,343.6,289.5,430.0,380.7,324.0,217.3,91.63,68.98,63.45
26,119.1,149.8,238.7,338.8,299.3,431.4,385.8,323.8,208.4,90.30,67.10,63.96
27,118.9,148.6,242.3,321.8,315.0,426.4,377.4,323.5,197.2,86.95,65.43,71.79
28,121.8,143.4,239.4,340.3,318.9,438.7,374.9,308.4,182.8,88.24,64.42,72.42
29,120.5,146.6,233.1,342.1,341.9,417.4,369.3,296.6,167.8,90.11,69.74,70.39
30,120.3,,245.2,347.0,348.2,429.8,368.5,279.0,152.5,85.43,69.43,68.80
31,126.3,,257.4,,364.5,,354.4,275.3,,86.94,,68.31
