DAY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,110.9,105.6,187.9,315.6,349.7,361.9,406.3,540.4,321.6,234.0,255.6,211.3
2,110.5,120.3,191.8,338.8,341.1,362.2,409.5,489.7,308.3,232.2,249.3,212.8
3,110.1,117.8,183.6,339.5,338.6,374.0,413.4,439.7,298.9,224.8,253.6,219.9
4,109.9,115.9,192.1,312.4,335.4,396.1,423.7,459.3,307.7,222.7,294.2,224.6
5,108.8,115.4,201.0,281.2,337.0,403.1,433.7,448.0,299.2,219.6,336.2,219.2
6,108.9,114.7,201.9,251.1,351.9,379.1,443.5,436.6,296.6,213.9,314.6,217.1
7,108.4,114.9,215.2,241.1,370.3,382.2,473.0,416.6,293.5,215.7,297.6,215.3
8,108.5,115.5,219.5,239.9,380.4,384.7,458.8,407.2,275.0,222.8,280.6,210.9
9,108.0,115.8,222.6,232.1,360.8,399.4,445.0,401.6,263.7,221.8,263.7,208.1
10,108.0,115.1,204.0,226.2,357.0,410.1,459.7,395.4,252.4,216.5,251.4,217.3
11,107.5,114.6,201.2,220.5,352.3,419.1,429.6,385.0,245.8,214.2,262.2,257.1
12,107.0,114.5,199.6,227.0,363.0,406.7,421.9,381.0,248.2,211.9,261.0,251.4
13,107.3,114.3,193.8,233.0,431.1,401.1,413.3,376.8,249.1,218.9,370.8,245.4
14,109.9,114.4,194.3,244.7,329.3,412.3,407.5,367.7,249.9,223.8,336.6,237.7
15,117.6,114.0,197.7,262.7,333.4,422.2,407.7,375.4,245.6,220.0,308.1,228.3
16,116.4,123.5,200.5,355.1,347.2,414.4,409.4,377.1,252.7,216.3,280.1,219.3
17,115.7,146.1,196.7,338.8,380.3,403.3,411.1,378.8,249.2,213.9,267.7,212.6
18,115.0,139.6,190.3,323.2,397.6,408.4,426.4,362.0,243.6,219.0,256.1,206.8
19,113.8,140.9,185.1,349.9,384.4,415.6,414.8,351.9,238.9,224.2,248.1,201.4
20,111.9,146.8,188.6,376.0,372.4,427.4,402.7,353.2,239.6,301.8,241.8,211.0
21,110.2,140.2,195.7,349.5,368.5,431.2,434.5,369.4,239.8,255.4,232.4,220.1
22,117.9,146.5,202.6,328.7,378.8,434.7,419.1,356.1,236.2,245.0,224.1,215.6
23,127.6,152.5,208.7,330.5,397.1,441.3,410.6,364.6,238.8,240.9,227.4,208.4
24,118.8,167.8,212.8,340.6,381.6,431.0,422.4,372.9,236.3,238.8,219.8,215.9
25,112.2,396.6,232.5,352.6,365.0,418.4,421.7,358.6,231.7,243.3,226.0,219.9
26,115.3,269.0,221.4,377.0,350.8,384.2,438.2,344.6,232.1,273.3,220.4,213.1
27,115.6,226.6,217.3,402.0,344.5,373.5,454.2,331.0,229.3,285.7,214.6,209.2
28,116.3,183.5,207.5,385.0,354.8,379.1,439.1,357.9,226.3,292.5,209.9,205.4
29,116.4,183.5,230.4,375.2,371.0,384.8,419.2,344.8,226.8,278.6,215.2,199.7
30,115.4,,253.7,365.6,384.1,393.9,401.5,342.7,227.5,270.3,219.8,196.7
31,114.1,,250.7,,373.1,,404.1,341.7,,262.2,,199.0
