DAY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,68.54,64.17,71.06,153.7,227.9,258.5,454.6,361.7,214.9,172.5,158.6,124.0
2,67.65,64.74,72.10,136.7,217.0,249.5,488.8,359.1,212.5,172.2,154.5,121.9
3,69.77,103.4,75.36,148.4,203.2,255.7,493.1,352.1,214.2,170.6,156.0,121.1
4,68.84,92.35,76.46,143.8,209.2,285.8,487.8,343.1,216.9,173.9,154.4,120.8
5,70.50,89.46,78.71,147.6,219.7,317.4,477.0,330.1,228.5,180.2,156.3,121.4
6,73.05,90.92,76.59,185.2,217.5,356.9,383.1,323.1,217.8,184.1,153.7,120.9
7,68.86,108.4,76.85,212.3,224.0,367.9,444.0,321.1,216.5,189.2,157.4,120.1
8,70.96,91.59,73.11,183.8,249.8,377.9,429.3,319.5,215.7,195.3,161.1,119.8
9,74.47,85.96,82.08,153.0,237.1,380.1,383.5,314.5,213.2,194.9,157.3,119.3
10,73.46,79.46,81.78,147.3,237.2,386.1,397.1,319.5,207.8,186.1,152.4,119.2
11,70.73,78.33,157.3,146.3,237.3,366.6,409.6,321.7,204.2,174.9,150.6,119.1
12,70.74,76.62,104.3,150.8,236.6,346.6,402.3,310.8,205.8,170.0,148.8,118.9
13,71.52,75.05,88.24,155.0,241.4,353.9,403.7,307.6,198.1,164.5,144.0,119.4
14,69.41,71.94,80.26,156.8,238.0,363.4,407.9,313.9,199.1,184.6,143.1,118.3
15,67.61,73.57,72.92,152.7,229.6,403.1,417.3,325.9,200.3,196.9,139.7,118.7
16,69.38,70.90,129.7,147.6,229.9,430.4,475.9,333.3,194.2,187.8,139.1,118.0
17,68.86,72.53,229.7,147.2,223.0,406.7,490.0,321.4,187.2,179.7,137.9,117.8
18,68.74,73.63,353.5,155.4,216.0,422.2,464.5,314.3,189.3,172.1,138.2,117.4
19,68.60,77.06,186.8,161.4,213.6,450.8,442.0,293.7,189.9,161.6,133.1,116.9
20,70.22,79.30,152.8,144.6,217.9,430.4,369.7,267.7,189.9,153.0,131.4,116.5
21,68.12,76.37,138.1,145.8,206.6,414.3,379.3,251.8,184.1,149.9,131.0,115.4
22,67.86,78.31,119.0,146.0,208.1,391.0,380.4,240.4,181.7,144.0,131.5,115.3
23,71.07,75.92,130.8,146.9,208.0,383.3,383.6,245.2,177.8,141.2,131.7,114.7
24,70.89,73.69,184.8,154.8,215.2,412.7,385.9,231.7,179.7,154.6,134.6,114.5
25,68.14,71.58,216.7,165.8,218.9,420.6,417.0,228.0,186.9,153.0,131.7,113.3
26,66.96,69.58,184.7,170.0,223.7,422.9,412.4,260.1,181.5,151.3,130.9,113.0
27,66.01,75.24,168.9,180.8,232.0,428.5,408.8,252.1,180.3,150.6,129.8,113.1
28,66.64,72.60,164.3,205.4,257.7,431.1,408.8,244.2,174.3,154.1,127.9,112.9
29,64.42,76.14,151.5,218.1,260.4,436.4,393.5,233.1,172.9,165.5,127.0,112.8
30,64.51,,167.6,233.1,272.0,446.1,378.7,223.0,170.4,161.1,125.2,112.3
31,60.57,,186.2,,276.3,,372.9,217.1,,160.1,,111.4
