DAY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,45.70,43.86,98.29,153.8,288.1,381.9,363.4,282.0,207.4,162.5,162.6,120.1
2,47.65,45.16,116.2,157.0,298.3,315.4,346.0,250.7,229.1,163.3,182.9,118.9
3,49.37,43.15,133.6,153.0,311.1,292.2,321.5,254.2,429.8,163.3,188.7,123.6
4,41.97,39.98,114.7,148.2,320.6,317.9,286.2,240.9,344.7,159.3,186.2,127.4
5,36.52,37.87,122.3,140.8,326.4,324.5,272.3,274.4,265.5,183.4,180.2,130.5
6,47.09,52.22,115.5,133.1,320.7,346.6,329.3,315.1,291.3,190.4,174.9,136.2
7,64.93,71.06,107.1,131.2,316.0,356.0,287.6,328.5,314.2,198.3,168.5,139.1
8,52.73,52.34,104.4,132.8,313.0,355.6,315.5,348.2,309.4,211.0,163.5,141.4
9,46.97,50.17,112.2,130.2,307.4,356.2,318.3,312.8,299.4,217.2,159.1,144.7
10,40.18,48.26,115.5,145.7,314.3,362.0,309.3,338.9,294.6,222.1,156.0,102.5
11,33.40,46.13,119.6,167.6,317.8,392.1,304.6,350.4,274.6,211.3,154.5,100.9
12,35.59,68.50,121.3,181.7,312.3,385.2,332.8,375.3,262.2,212.7,153.9,99.94
13,41.39,128.5,122.6,189.0,303.4,395.8,313.3,403.8,245.8,216.6,153.7,96.64
14,45.51,202.1,125.1,189.6,316.6,418.5,295.6,359.2,239.6,210.8,154.1,94.99
15,51.32,159.7,133.8,195.7,320.5,407.3,312.9,328.9,245.3,208.1,150.5,100.1
16,47.98,146.1,142.0,193.3,325.3,425.3,426.5,337.6,238.1,203.6,145.5,96.20
17,47.08,128.0,149.9,234.7,332.6,467.3,387.7,326.0,229.9,198.5,145.7,92.69
18,47.79,107.6,157.6,280.3,345.1,363.0,281.5,323.6,210.1,195.0,140.6,93.41
19,46.97,98.82,143.7,215.7,341.0,356.5,290.8,297.4,194.1,186.0,139.7,94.00
20,47.00,96.86,140.0,206.9,348.5,362.1,320.2,277.1,175.4,182.1,138.6,97.35
21,45.91,95.07,139.0,200.7,356.0,372.1,342.8,264.8,156.9,172.3,135.7,97.79
22,44.19,95.53,144.5,186.5,357.6,386.9,313.9,255.8,151.5,160.7,132.6,99.84
23,41.84,92.96,149.1,187.8,363.5,397.0,296.9,244.8,140.6,161.5,131.1,97.81
24,40.57,91.95,153.7,210.3,367.0,406.8,299.9,243.1,139.1,175.8,128.5,95.01
25,40.83,95.57,160.5,240.0,370.5,419.5,307.7,237.8,138.9,166.2,126.7,94.15
26,40.37,100.7,160.1,247.6,388.2,431.7,321.2,330.0,139.1,172.1,125.1,93.70
27,39.37,95.99,158.0,255.0,397.5,447.0,324.4,307.0,153.8,174.4,123.5,94.95
28,39.38,94.24,157.8,262.2,394.6,432.6,341.3,300.8,156.1,180.7,122.3,92.16
29,38.72,94.24,159.4,264.4,389.8,347.7,334.3,292.5,158.9,183.4,119.5,90.76
30,40.97,,160.7,276.5,384.0,415.7,324.1,274.1,157.0,177.1,125.9,91.59
31,43.53,,155.9,,380.3,,298.6,228.9,,172.5,,92.86
