DAY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,156.6,187.3,185.3,279.2,323.4,430.4,399.4,360.2,215.6,146.3,111.8,103.4
2,152.7,186.7,189.2,275.9,317.4,435.7,396.4,374.8,212.2,143.1,113.6,104.4
3,156.4,182.5,202.0,275.2,321.7,440.1,386.7,392.2,213.1,139.5,109.8,103.0
4,162.8,193.4,215.9,288.4,321.3,444.0,388.2,370.5,206.8,140.4,109.4,103.9
5,168.7,197.2,216.8,314.2,324.6,456.9,388.5,358.4,206.4,141.0,109.5,103.8
6,183.5,197.4,210.5,302.3,342.1,442.4,379.2,348.3,201.5,137.2,109.3,102.7
7,178.6,191.7,209.8,291.2,357.6,438.6,390.9,345.9,201.9,133.2,108.3,101.3
8,177.2,187.2,198.6,273.2,378.0,449.1,391.1,343.6,197.5,131.3,107.2,102.1
9,178.6,187.2,197.4,257.6,370.2,434.4,399.3,342.6,199.9,129.2,108.4,101.0
10,179.4,185.9,201.9,247.8,369.8,425.1,404.6,343.1,199.6,129.2,110.0,99.89
11,176.6,190.2,192.8,243.2,376.0,412.6,416.4,347.1,219.8,127.3,109.4,99.00
12,178.8,184.4,188.3,255.5,379.1,408.9,460.5,343.9,218.3,126.4,108.4,103.7
13,181.4,182.4,183.4,264.2,382.5,400.3,436.5,341.0,206.4,125.5,106.8,107.6
14,183.2,181.6,184.7,268.4,386.5,399.4,420.0,337.5,197.9,124.6,105.7,104.4
15,177.3,183.5,182.1,274.9,385.8,392.9,402.2,328.3,194.3,124.8,109.2,103.1
16,173.7,187.4,180.1,293.1,386.7,398.5,385.1,309.9,192.7,122.9,108.4,102.8
17,176.9,196.9,181.3,313.4,363.8,403.7,377.5,288.6,193.1,122.8,109.2,104.1
18,178.1,207.6,187.2,332.3,386.0,410.7,370.6,291.6,194.9,121.6,106.1,102.6
19,179.9,285.9,184.4,349.3,379.5,414.2,367.8,290.2,183.6,120.0,105.0,103.5
20,177.2,260.4,183.6,357.6,385.7,408.9,365.9,281.7,187.9,123.2,106.5,104.0
21,179.1,254.9,186.8,359.6,390.5,406.3,359.9,275.6,190.2,118.9,106.3,101.8
22,175.7,228.8,187.4,343.3,392.4,391.3,359.1,253.9,187.4,120.8,106.3,102.1
23,176.3,199.9,191.0,329.9,396.8,385.4,352.2,248.4,177.5,119.6,106.5,99.41
24,181.4,198.0,200.6,322.2,395.5,391.4,348.2,243.0,174.7,119.1,105.2,100.3
25,187.2,196.9,205.8,323.5,403.9,389.6,345.1,234.8,166.8,118.2,106.4,100.5
26,198.2,195.1,218.8,326.1,409.1,397.2,341.6,239.3,165.8,112.5,106.1,100.1
27,188.6,194.8,232.5,324.1,409.8,393.8,340.1,227.6,161.2,112.3,104.7,100.8
28,190.7,187.4,244.2,320.8,407.9,393.2,333.7,224.5,158.2,111.5,103.5,98.19
29,184.2,198.14,273.7,318.9,410.7,389.0,326.0,222.8,157.0,110.3,102.4,97.68
30,192.3,,299.2,321.6,415.1,400.7,340.2,216.2,152.0,109.1,101.8,99.08
31,190.0,,305.0,,434.0,,354.9,215.0,,110.5,,96.34
